Blog	four	second	here	china	music	want	re	moment	wasn	service	letter	require	best	men	cut	recent	country	asked	much	life	things	had	possible	old	people	fox	o	inside	time	leave	team	brilliant	love	working	such	data	natural	so	years	internet	million	open	city	future	russia	say	take	average	laws	congressional	where	jobs	screen	many	former	polls	newspaper	technology	being	around	world	thinks	power	favorite	her	october	am	congress	having	case	small	past	scientists	company	science	beautiful	states	information	signs	found	really	try	number	obama	sell	also	play	plan	set	see	europe	death	last	read	readers	parents	d	senate	into	link	us	ago	young	race	video	great	makes	next	high	move	doing	books	could	david	start	festival	fact	bring	should	ve	off	web	government	five	become	does	letters	above	told	study	work	india	very	law	order	then	them	make	screening	do	dr	away	we	easy	night	security	post	takes	months	way	war	test	brown	change	history	market	live	car	heard	product	still	halt	half	now	year	happen	shows	british	television	online	begin	price	only	israeli	between	comes	these	food	speed	real	rules	blackberry	deficit	business	your	weight	low	building	month	run	advertising	family	taken	site	help	robert	since	american	kindle	clean	justice	less	pretty	close	look	while	used	game	popular	economic	eating	computer	department	e	go	facebook	michael	claim	recession	control	university	special	management	ben	winner	evolution	she	humans	officials	state	tuesday	both	strange	party	nation	well	twitter	home	washington	museum	contest	star	lives	protest	companies	even	ever	never	met	call	rights	movies	give	president	before	better	went	side	reader	moving	modern	seek	tells	don	m	stop	bad	said	against	three	tiny	if	just	yes	deal	down	editor	digital	weekend	finally	did	afghanistan	useful	effort	making	may	designed	man	group	interesting	thing	think	first	americans	long	little	were	especially	show	enough	black	get	nearly	reading	across	according	those	pay	same	peace	money	wants	videos	film	again	photos	u	talks	children	fall	public	town	available	through	someone	house	energy	hard	members	least	part	believe	build	most	find	common	please	foreign	point	simple	elections	fun	source	big	google	often	back	decision	per	exercise	named	private	themselves	obvious	chief	age	day	morris	ipad	calling	national	progress	general	value	com	ads	like	success	italian	buy	j	under	school	leaders	would	phone	me	my	times	end	over	each	got	free	already	top	too	though	earth	amazon	report	countries	news	games	faces	expected	republicans	experience	social	why	no	level	democrats	says	goes	water	groups	crisis	today	term	name	software	place	any	sure	gulf	written	federal	review	come	minister	good	week	without	model	researchers	blog	recalls	there	all	chinese	research	worse	ten	tea	what	israel	court	rather	might	generation	health	story	hotel	nothing	him	art	recently	c	political	flight	majority	called	once	cases	apple	use	few	women	tax	something	united	six	instead	practice	our	out	york	g	agency	which	local	walk	gets	book	know	because	own	made	whether	percent	other
The Becker-Posner Blog	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	3	1	0	2	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	4	0	0	0	2	0	0	0	0	0	4	0	3	0	2	2	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	3	0	0	1	0	3	0	0	1	0	1	0	1	4	0	0	0	0	0	1	0	0	0	3	0	3	0	5	0	2	2	0	0	0	0	0	0	1	0	0	1	1	1	0	3	0	0	3	0	0	0	2	0	1	1	0	0	0	0	0	3	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	2	1	2	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	4	0	0	0	0	0	0	0	3	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0	2	9	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0	4	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0	0	2	0	0	0	2	0	2	0	0	2	0	1
Boston.com Top Stories	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	2	2	0	1	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	2	0	0	0	1	1	2	0	0	1	0	0	0	0	0	1	1	0	0	0	2
NYT > Politics	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	2	0	0	2	2	1	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	0	3	0	0	0	0	1	0	6	1	0	1	0	0	1	0	0	0	0	0	0	0	4	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	6	2	0	0	0	0	0	0	4	0	0	0	0	0	4	2	1	0	2	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	4	1	0	0	2	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	3	0	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	3	4	1	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1
NPR Topics: News	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	2	1	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	2	4	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	1	2	0	1	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	2	3	5	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	1	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	6	0	0	0	2	1	0	1	0	2	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	5	0	2	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1
NYT > Health	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0	0	2	0	1	0	1	2	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	2	0	0	0	6	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	4	4	3	1	0	1	0	1	0	0	0	1	0	1	2	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	2	0	1	4	0	0	0	4	1	0	2	2	2	0	3	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	3	0	1	2	1	0	2	0	0	1	1	0	0	0	0	1	2	2	0	1	2	0	0	3	2	2	0	0	0	0	1	1	1	0	2	1	0	0	0	0	2	3	0	0	1	1	0	0	2	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	3	0	0	0	2	0	1	3	1	0	0	1	0	0	0	0	2	2	0	1	0	0	2	2	0	4	0	0	1	0	2	0	0	2	0	0	0	0	2	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	1	2	0	2	1	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	2	1	0	0	0	1	0	0	0	1	2	0	0	3	2	1	0	0	0	3	0	0	0	0	0	0	0	2	1	2	0	0	0	0	2	0	0	0	0	0	2	2	0	1	0	1	2	2	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	4	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	2	1	0	4	0	2	0	1	0	2	0	0	0	1	0	3	0	1	0	16	0	0	1	0	0	0	3	0	0	0	2	0	2	0	1	2	5	0	0	2	0	0	2	1	0	0	1	2	2	0	0	2	1	3	1	0	4	2	0	0
Techmeme	1	2	3	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	2	0	4	1	0	2	1	2	0	0	4	0	0	0	0	0	0	2	0	1	1	8	7	1	0	2	0	1	1	0	0	0	4	6	0	1	1	0	0	1	0	1	2	0	0	0	0	3	0	0	1	0	0	0	0	4	0	0	0	1	0	1	2	0	0	1	0	1	2	0	3	0	0	0	1	1	0	0	0	3	1	0	3	1	0	0	3	1	0	3	2	0	0	1	2	0	1	0	1	0	0	1	0	7	0	0	0	2	0	0	3	2	1	0	1	0	0	0	1	4	0	0	0	0	13	0	0	0	4	0	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	4	5	2	0	1	3	6	0	2	3	0	0	0	0	0	0	1	0	7	0	3	12	0	2	1	1	1	5	0	0	0	0	0	1	0	3	0	0	0	2	1	3	1	0	1	1	0	0	0	0	0	2	5	4	0	0	4	0	0	2	3	0	0	0	0	0	0	2	0	0	0	0	4	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2	2	0	0	1	0	2	2	5	2	0	1	0	3	0	3	2	0	0	0	1	0	0	0	1	0	1	2	4	0	3	1	0	0	0	0	0	1	2	0	0	2	0	2	1	0	1	3	2	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	2	1	12	0	0	0	0	0	1	0	0	0	2	2	1	2	4	2	0	0	0	0	3	3	6	0	0	2	0	0	0	0	3	1	0	0	0	0	2	0	3	3	1	0	0	0	0	6	0	0	4	2	0	3	0	0	0	5	2	0	0	8	0	0	0	0	6	0	0	0	1	0	1	0	0	0	2	1	0	1	1	1	0	0	4	0	2	1	0	1	0	0	0	8	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	11	0	2	0	0	0	0	1	1	0	2	3	3	4	0	7	0	0	1	1	3	0	1	2	0	2	0
NYT > Arts	0	0	0	0	6	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	2	1	0	1	2	0	1	0	0	0	1	0	1	1	0	0	2	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	2	4	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	1	2	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	5	0	0	0	1	1	1	2	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	3	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0
Fark.com RSS	1	0	4	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	5	2	0	0	0	1	1	0	0	2	0	0	0	1	2	0	1	0	0	0	0	2	0	2	0	0	0	1	0	0	0	2	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	1	1	0	3	50	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	3	0	2	0	0	1	0	0	0	0	0	0	2	1	0	2	1	2	1	4	0	3	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	1	7	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	1	1	0	1	2	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	6	0	0	1	1	0	0	0	4	1	1	2	0	0	0	1	0	2	0	0	0	2	1	0	3	2	5	3	0	0	1	0	2	1	0	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	6	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	2	0	0	0	2	3	0	0	0	0	0	2	0	0	0	1	1	0	0	0	2	1	2	0	2	0	0	0	2	0	0	0	1	1	0	0	2	0	3	1	1	0	4	0	0	0	1	0	0	0	0	3	1	0	1	0	0	1
mental_floss Blog	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	2	0	1	0	0	1	1	0	0	1	0	0	2	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	4	0	0	0	2	12	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	2	2	2	0	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	3	1	0	0	1	1	0	0
Dilbert.com Blog	2	2	3	0	1	10	13	3	3	2	0	2	7	0	0	0	5	4	14	5	9	15	2	4	36	0	0	1	25	2	6	2	4	3	9	3	2	48	7	18	2	2	0	19	0	9	11	5	3	0	6	1	4	12	0	0	0	1	9	3	12	2	3	3	3	0	2	0	3	5	3	2	0	4	0	2	2	11	1	2	2	8	5	1	3	7	6	2	1	19	0	7	2	6	4	0	6	0	10	2	14	3	4	0	4	6	5	5	2	3	2	3	30	0	4	0	5	2	6	3	5	6	0	7	2	1	0	2	2	0	6	0	3	2	2	8	9	12	0	23	0	4	49	6	1	1	5	3	1	26	0	2	0	1	2	3	0	2	3	0	5	0	3	15	4	3	1	0	1	0	2	2	17	0	3	4	3	9	6	6	2	0	0	9	117	4	0	2	0	2	0	11	0	16	2	0	2	1	0	0	0	8	1	2	3	14	4	8	2	1	2	3	0	1	4	0	0	0	0	4	0	4	2	0	2	2	3	12	0	0	0	4	0	3	0	2	2	3	0	0	3	0	1	0	1	11	6	8	0	8	0	4	3	1	11	5	2	4	2	2	0	0	4	15	20	4	6	2	6	2	2	54	21	14	1	4	2	0	3	2	7	1	3	2	8	0	4	2	2	6	8	25	21	0	6	7	12	4	5	12	0	20	2	3	1	3	8	6	15	0	4	4	2	0	2	3	2	0	1	1	3	0	4	9	9	0	0	6	0	6	20	5	1	34	12	5	3	0	14	4	0	2	3	10	3	9	7	0	2	6	2	0	5	6	0	2	11	0	2	3	3	4	2	1	3	2	32	3	0	4	0	0	3	8	74	13	38	72	17	6	11	8	4	6	7	2	8	0	2	0	0	2	5	4	14	0	0	2	2	6	18	12	0	2	3	1	2	0	1	2	18	4	3	25	2	0	2	0	1	3	0	18	0	5	4	1	6	0	24	40	0	3	3	3	0	38	0	0	0	18	2	2	5	1	7	2	8	2	0	3	7	0	17	10	1	2	4	5	0	0	11	3	0	4	6	21	12	0	0	0	15	2	2	3	7	20	32	18	7	2	0	21
